,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,34,86,157,76,38,216,121,44,145,221,48,131,180,18,22,162
1,207,190,144,83,168,85,225,117,181,167,248,223,45,42,74,144
2,89,138,157,23,3,208,184,143,111,3,134,91,237,69,32,79
3,12,144,239,225,179,223,144,228,174,41,11,58,238,244,223,192
4,146,148,186,102,21,92,180,245,106,50,149,116,36,98,68,180
5,101,95,201,234,218,206,145,34,197,213,236,129,22,205,39,203
6,147,180,51,120,9,76,67,14,23,6,180,232,110,4,13,202
7,221,253,225,178,183,75,187,48,146,104,70,163,219,43,253,134
8,119,36,110,223,144,94,79,134,130,18,21,131,210,18,17,44
9,41,214,176,53,201,159,7,140,30,98,232,35,93,182,47,170
10,162,55,169,110,240,126,135,231,85,52,95,124,233,87,19,80
11,84,98,80,177,233,45,243,231,16,140,109,178,78,139,171,222
12,245,243,88,107,78,233,79,176,205,57,101,189,149,248,69,222
13,252,140,157,197,148,25,44,35,171,51,132,195,221,137,250,114
14,67,115,146,212,97,15,173,148,177,36,120,122,95,166,250,255
15,119,102,107,115,72,135,220,157,228,239,83,95,180,204,42,137
16,126,207,24,199,246,231,222,64,91,134,100,31,19,48,40,161
17,52,158,68,222,46,61,216,195,240,178,41,235,60,16,204,127
18,43,155,97,122,249,92,198,133,177,96,105,170,164,196,127,59
19,160,122,94,241,125,26,192,12,101,213,32,217,34,118,125,127
20,163,203,176,16,167,86,101,115,17,82,53,48,171,184,163,140
21,138,9,155,157,46,96,67,230,16,254,63,17,84,23,233,231
22,225,186,29,229,42,13,115,105,45,138,222,36,175,187,157,121
23,225,166,53,225,228,169,246,138,182,141,215,41,121,161,237,251
24,142,126,149,217,197,162,59,143,33,13,249,119,8,132,237,220
25,93,83,78,214,18,250,34,184,93,194,123,15,106,237,92,19
26,209,139,49,67,161,43,128,252,249,56,14,142,87,43,253,228
27,11,250,145,200,78,84,150,192,49,24,142,27,197,155,29,236
28,43,153,44,156,204,6,13,220,84,31,139,88,237,51,164,208
29,153,203,52,194,27,177,114,41,218,79,134,13,214,148,65,14
30,44,212,87,119,132,213,40,26,18,21,79,228,26,91,183,88
31,11,54,109,187,87,191,167,154,82,7,156,127,133,2,147,249
32,89,51,213,210,90,136,23,146,208,63,148,23,229,103,247,154
33,153,46,143,117,8,17,17,206,87,173,5,117,113,148,62,217
34,58,35,68,112,7,205,143,147,231,86,43,174,114,119,33,62
35,9,235,98,235,108,105,131,96,197,146,192,165,191,6,141,16
36,226,29,88,151,104,54,11,95,95,107,198,57,134,38,44,85
37,111,52,29,190,246,230,84,85,133,29,141,243,247,183,215,227
38,126,180,28,188,42,158,201,83,78,193,234,158,86,95,236,99
39,130,227,25,134,191,153,99,101,224,213,232,231,237,113,15,136
40,43,6,170,176,50,166,183,35,183,233,174,102,157,11,196,225
41,95,173,232,162,15,238,141,249,86,240,139,173,225,129,166,79
42,81,42,246,168,178,39,239,227,117,233,15,64,143,202,106,81
43,29,62,3,140,198,87,190,33,140,96,215,168,22,4,80,142
44,46,74,5,110,81,92,140,20,39,250,156,198,29,102,68,12
45,241,73,122,176,56,131,191,226,37,210,52,150,203,32,232,231
46,161,17,59,147,77,57,238,165,124,11,123,237,103,166,173,254
47,17,124,86,82,179,248,12,141,57,38,10,197,52,127,190,175
48,189,39,249,255,255,51,150,66,229,102,124,146,170,192,251,205
49,177,44,0,68,57,66,9,128,64,66,47,213,234,225,96,75
50,155,110,199,153,167,227,124,63,26,221,49,38,113,69,216,252
51,249,224,73,167,20,12,111,104,28,34,142,66,212,109,65,22
52,216,24,118,141,180,81,218,178,78,25,12,69,62,29,57,103
53,108,123,35,230,133,151,215,85,114,43,149,180,155,195,27,15
54,3,6,118,80,242,131,73,9,224,138,219,162,236,81,67,151
55,125,108,138,229,38,106,30,208,143,182,4,68,70,193,92,20
56,37,27,235,141,134,187,78,237,130,209,153,214,40,174,150,131
57,246,46,115,24,166,108,183,34,24,234,247,193,79,88,252,97
58,72,84,116,170,68,166,106,157,36,110,156,58,183,221,114,91
59,150,150,151,42,169,216,220,236,213,32,56,238,128,163,107,241
60,220,224,70,239,96,34,254,51,163,10,27,31,192,139,17,157
61,62,22,172,104,23,242,221,14,155,189,149,97,141,243,195,0
62,189,54,229,193,166,74,120,189,153,244,100,172,111,104,3,93
63,233,141,251,174,28,163,58,183,196,176,28,226,133,187,114,24
64,217,102,24,136,26,231,23,107,6,33,55,5,80,56,60,18
65,238,158,232,250,55,243,25,154,81,53,119,238,124,254,42,233
66,205,49,124,223,78,247,95,98,189,140,58,222,201,99,208,124
67,32,206,245,203,214,76,125,226,179,21,171,115,114,249,60,219
68,52,216,91,112,48,141,186,38,226,35,15,11,51,46,132,221
69,235,154,167,7,54,175,111,146,134,0,75,241,9,234,23,116
70,139,100,242,251,13,219,89,210,247,62,224,70,42,127,11,152
71,234,34,52,236,8,40,55,5,85,113,41,30,67,187,164,33
72,114,78,88,126,174,214,59,62,31,225,185,119,21,226,119,176
73,198,67,210,21,111,165,104,248,204,227,243,72,109,176,120,208
74,232,133,250,45,195,117,39,112,145,111,238,110,62,124,5,108
75,98,182,145,91,232,206,33,216,43,85,229,201,214,119,60,128
76,199,213,136,137,159,173,120,127,210,66,172,141,5,200,232,226
77,166,121,79,58,64,78,46,57,195,206,130,164,155,250,52,3
78,204,190,109,75,71,127,195,217,102,178,22,23,118,225,68,161
79,218,205,171,23,125,168,43,121,126,39,250,255,121,54,8,153
80,97,227,23,149,7,53,193,31,169,14,154,141,34,151,42,6
