,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,37,235,140,72,255,137,203,133,79,192,144,129,204,71,237,252
1,134,25,178,20,254,101,146,212,139,252,234,156,157,142,50,68
2,215,215,233,241,247,222,96,86,141,233,137,7,63,61,22,57
3,1,128,60,209,8,216,141,115,175,234,121,200,30,71,131,198
4,149,49,57,3,196,24,241,43,76,26,52,80,109,115,41,210
5,15,64,196,25,111,226,215,135,26,153,104,22,9,195,231,126
6,23,125,100,155,165,57,83,166,136,32,162,10,23,143,239,87
7,25,199,243,92,74,190,46,160,216,151,183,65,113,77,3,128
8,248,253,205,6,52,213,198,2,76,219,149,203,7,77,200,75
9,76,43,20,30,36,103,7,45,196,57,240,252,210,96,13,10
10,23,124,81,135,121,152,202,220,148,160,140,193,94,60,233,152
11,82,115,97,130,236,220,103,98,10,182,96,233,82,214,198,194
12,71,231,176,54,15,133,145,170,20,118,176,22,229,141,241,114
13,97,181,84,10,96,183,61,56,217,149,231,96,249,211,25,241
14,142,141,212,116,43,134,205,184,187,143,24,251,137,194,199,53
15,69,164,101,248,21,40,77,219,177,113,47,205,168,206,45,87
16,144,156,234,45,195,116,66,206,46,128,157,63,75,35,181,221
17,33,130,212,83,48,54,32,253,156,55,210,31,28,222,74,136
18,109,99,32,8,84,205,50,79,169,64,108,211,24,113,234,20
19,44,15,158,219,142,243,19,251,154,235,86,135,227,53,175,110
20,188,243,34,100,228,32,147,195,24,211,229,94,166,175,231,133
21,79,63,113,87,160,42,202,194,216,226,158,145,68,64,188,244
22,206,145,167,163,209,156,150,38,169,202,205,70,153,230,240,48
23,178,190,44,105,182,0,86,247,16,19,9,112,220,51,111,138
24,123,68,151,14,191,21,174,124,131,184,88,208,174,54,207,71
25,252,14,205,143,153,53,212,249,186,213,114,238,157,44,37,150
26,219,182,76,12,120,59,154,204,199,215,167,125,43,204,114,38
27,91,112,253,69,226,161,171,154,184,197,73,52,89,27,43,1
28,82,127,94,224,154,84,30,103,64,150,98,52,131,70,140,39
29,230,83,239,176,61,198,13,164,23,150,194,122,220,249,234,95
30,53,137,169,185,88,109,246,221,244,204,82,106,139,105,36,112
